experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
exponential,T1,17,Nystrom,10.682752950650361,0,14.536325674327538,7,0,gamma,0.06482601165771484
exponential,T1,17,ICD,9.7594146713277343,0,9.7581535508349031,7,0,gamma,0.276123046875
exponential,T1,17,RFF,8.7721752370987609,0,2.7145343605525505,7,0,gamma,0.004247903823852539
exponential,T1,18,Mklaren,5.3031552948787972,0,5.3293496281409247,7,0,gamma,0.7951841354370117
exponential,T1,18,CSI,5.6017439858840943,0,5.6314230879143681,7,0,gamma,0.4536271095275879
exponential,T1,18,FITC,5.9289921438515334,0,5.9512979589865029,7,0,gamma,7.218024015426636
exponential,T1,18,Nystrom,8.4482821893266493,0,7.8289023239759672,7,0,gamma,0.06475496292114258
exponential,T1,18,ICD,6.0346722110476847,0,6.0542050541680688,7,0,gamma,0.27561378479003906
exponential,T1,18,RFF,12.168865081056618,0,4.7676802314858984,7,0,gamma,0.0042989253997802734
exponential,T1,1,Mklaren,2.6618623952859108,0,2.6449143318051958,7,0.10000000000000001,gamma,0.8105390071868896
exponential,T1,1,CSI,7.1492393895989306,0,7.1504561060328165,7,0.10000000000000001,gamma,0.5525691509246826
exponential,T1,1,FITC,2.8410964529175593,0,4.0783398680179577,7,0.10000000000000001,gamma,2.4439258575439453
exponential,T1,1,Nystrom,7.1751512050824164,0,9.7769218325092666,7,0.10000000000000001,gamma,0.29881882667541504
exponential,T1,1,ICD,5.9885859765946279,0,5.9667281732724557,7,0.10000000000000001,gamma,0.37035584449768066
exponential,T1,1,RFF,3.4575219422279551,0,2.338595482662186,7,0.10000000000000001,gamma,0.005509853363037109
exponential,T1,2,Mklaren,1.1698892032387711,0,1.1630629685331972,7,0.10000000000000001,gamma,0.8535900115966797
exponential,T1,2,CSI,1.8669681106336913,0,1.8642466837957861,7,0.10000000000000001,gamma,0.41840505599975586
exponential,T1,2,FITC,1.5053206493414628,0,2.1975724470623503,7,0.10000000000000001,gamma,4.240584850311279
exponential,T1,2,Nystrom,3.9920368184818891,0,3.8152122011517418,7,0.10000000000000001,gamma,0.21823501586914062
exponential,T1,2,ICD,4.2200225377827811,0,4.2161143805245871,7,0.10000000000000001,gamma,0.2752499580383301
exponential,T1,2,RFF,2.5242621235788687,0,2.495265491537686,7,0.10000000000000001,gamma,0.0044879913330078125
