experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
periodic,T1,14,ICD,12.5671048427496,0,12.5947581197445,7,0.316227766016838,per,4.75673604011536
periodic,T1,15,CSI,6.05788407740011,0,6.0717903095589,7,0.316227766016838,per,2.83090901374817
periodic,T1,15,Nystrom,7.54254279880895,0,6.82320542200334,7,0.316227766016838,per,3.44788718223572
periodic,T1,15,Mklaren,5.2480900908713,0,5.26690541621549,7,0.316227766016838,per,8.44098901748657
periodic,T1,15,ICD,7.29100723321358,0,7.30382690571887,7,0.316227766016838,per,5.71213102340698
periodic,T1,16,CSI,21.30343810515,0,21.2993166182175,7,0.316227766016838,per,2.27048015594482
periodic,T1,16,Nystrom,25.1457988047751,0,24.0967730075571,7,0.316227766016838,per,3.46186709403992
periodic,T1,16,Mklaren,18.7144292976171,0,18.681884665397,7,0.316227766016838,per,8.59052896499634
periodic,T1,16,ICD,24.834346120307,0,24.8184115697884,7,0.316227766016838,per,4.8059070110321
periodic,T1,17,CSI,12.5626898592713,0,12.5629000258291,7,0.316227766016838,per,2.28029894828796
periodic,T1,17,Nystrom,17.4669672177089,0,17.5745120317517,7,0.316227766016838,per,3.36425495147705
periodic,T1,17,Mklaren,9.52080316339084,0,9.52362335969935,7,0.316227766016838,per,8.56085801124573
periodic,T1,17,ICD,15.1166788456952,0,15.1198898335739,7,0.316227766016838,per,4.84639191627502
periodic,T1,18,CSI,8.22326350648284,0,8.23752938378762,7,0.316227766016838,per,2.66355895996094
periodic,T1,18,Nystrom,9.61684433472029,0,10.1857099300063,7,0.316227766016838,per,3.37806391716003
periodic,T1,18,Mklaren,7.89638507152148,0,7.90345756519326,7,0.316227766016838,per,8.44775009155273
periodic,T1,18,ICD,9.30782040790593,0,9.34024738254957,7,0.316227766016838,per,4.7602870464325
periodic,T1,1,CSI,14.3252300406738,0,14.2906235985152,7,1,per,2.30276298522949
periodic,T1,1,Nystrom,18.8885796653819,0,16.6925027869984,7,1,per,3.36640906333923
periodic,T1,1,Mklaren,7.59928114398193,0,7.53949827738705,7,1,per,8.53453516960144
periodic,T1,1,ICD,14.7666002128409,0,14.742389965286,7,1,per,4.75821018218994
periodic,T1,2,CSI,4.0168609961937,0,3.99645827137193,7,1,per,2.26751518249512
periodic,T1,2,Nystrom,5.82736571585453,0,5.94902937265653,7,1,per,3.37639999389648
periodic,T1,2,Mklaren,4.4014456702994,0,4.38779489135237,7,1,per,8.48104190826416
periodic,T1,2,ICD,4.83144745811847,0,4.81844017903716,7,1,per,4.78025484085083
periodic,T1,3,CSI,2.33154798200435,0,2.33557202806841,7,1,per,2.35690188407898
periodic,T1,3,Nystrom,3.7568965916646,0,3.65089657299539,7,1,per,3.38044095039368
periodic,T1,3,Mklaren,1.48412151602253,0,1.48210981203535,7,1,per,8.43174290657043
periodic,T1,3,ICD,3.33892631740024,0,3.34059514380653,7,1,per,4.76231694221497
periodic,T1,4,CSI,2.82965021399573,0,2.8441924421713,7,1,per,2.29778480529785
periodic,T1,4,Nystrom,3.63613566736279,0,3.42128467960927,7,1,per,3.36145210266113
periodic,T1,4,Mklaren,2.95450031709316,0,2.96564390739505,7,1,per,8.41779088973999
periodic,T1,4,ICD,3.46260018609676,0,3.48121999146167,7,1,per,4.73853492736816
periodic,T1,5,CSI,12.2706453046737,0,12.2579653070341,7,1,per,2.31818008422852
periodic,T1,5,Nystrom,13.7051870135278,0,14.1007870328189,7,1,per,3.42820310592651
periodic,T1,5,Mklaren,5.34065146410472,0,5.32441215760113,7,1,per,8.44967794418335
periodic,T1,5,ICD,12.6297248396286,0,12.6258305499393,7,1,per,4.79569482803345
periodic,T1,6,CSI,5.58993276480964,0,5.57726030093044,7,1,per,2.63562297821045
periodic,T1,6,Nystrom,7.52344451071156,0,6.30073877753042,7,1,per,3.72954416275024
periodic,T1,6,Mklaren,5.93196355379054,0,5.92361856410568,7,1,per,8.48084688186646
periodic,T1,6,ICD,6.66646461478112,0,6.65113900237743,7,1,per,5.08483695983887
periodic,T1,7,CSI,4.79560995418559,0,4.81128437939502,7,1,per,2.3448600769043
periodic,T1,7,Nystrom,5.74393527022448,0,6.29306299890351,7,1,per,3.36483001708984
periodic,T1,7,Mklaren,4.92328112247496,0,4.9499484591023,7,1,per,8.46374583244324
periodic,T1,7,ICD,5.62525305098491,0,5.63962396807359,7,1,per,4.82059001922607
periodic,T1,8,CSI,7.46262847753307,0,7.48002096355402,7,1,per,2.30257606506348
periodic,T1,8,Nystrom,8.53916481641442,0,8.55565777402946,7,1,per,3.36247897148132
periodic,T1,8,Mklaren,7.70611006385915,0,7.71865664130146,7,1,per,8.53027510643005
periodic,T1,8,ICD,8.55136866864427,0,8.55947629099938,7,1,per,4.79198598861694
periodic,T1,9,CSI,5.22161499384422,0,5.22615023608811,7,1,per,2.64620995521545
periodic,T1,9,Nystrom,6.27749776435616,0,6.16794555087202,7,1,per,3.37272095680237
periodic,T1,9,Mklaren,5.10004409910161,0,5.0988989672428,7,1,per,8.49160480499268
periodic,T1,9,ICD,5.69478009286736,0,5.69107386697333,7,1,per,4.76873683929443
periodic,T1,10,CSI,6.79013674711872,0,6.7624674350122,7,1,per,2.32444596290588
periodic,T1,10,Nystrom,7.63685091161007,0,7.37501601722619,7,1,per,3.41923093795776
periodic,T1,10,Mklaren,6.51743799091027,0,6.4911968538918,7,1,per,8.47755479812622
periodic,T1,10,ICD,7.47664402212565,0,7.45217987263162,7,1,per,4.85519695281982
periodic,T1,11,CSI,6.10650196677765,0,6.12349795953042,7,1,per,2.25474095344543
periodic,T1,11,Nystrom,7.2888708579589,0,7.14228757810475,7,1,per,3.44901514053345
periodic,T1,11,Mklaren,6.47997050039277,0,6.46961224414462,7,1,per,8.39335894584656
periodic,T1,11,ICD,9.26719036503293,0,9.28164989526472,7,1,per,4.92746686935425
periodic,T1,12,CSI,5.48212170376735,0,5.48355547794772,7,1,per,2.27628684043884
periodic,T1,12,Nystrom,5.71248494524789,0,6.02786957015676,7,1,per,3.35843110084534
periodic,T1,12,Mklaren,5.27808235274516,0,5.26972385725367,7,1,per,8.69802188873291
periodic,T1,12,ICD,6.08169996993417,0,6.07647606637993,7,1,per,4.75096487998962
periodic,T1,13,CSI,8.16557932217741,0,8.18661891069059,7,1,per,2.64487314224243
periodic,T1,13,Nystrom,10.1438795427624,0,12.1673386436954,7,1,per,3.3685839176178
periodic,T1,13,Mklaren,8.23677290512051,0,8.25820764755333,7,1,per,8.4779269695282
periodic,T1,13,ICD,10.1643252074548,0,10.1928807250802,7,1,per,4.76005101203918
periodic,T1,14,CSI,9.67363846049856,0,9.69376240758234,7,1,per,2.51548314094543
periodic,T1,14,Nystrom,10.3859444307579,0,12.18739869089,7,1,per,3.3763370513916
periodic,T1,14,Mklaren,9.15895261691981,0,9.17211597806889,7,1,per,8.60270309448242
periodic,T1,14,ICD,12.6568353495322,0,12.683871961177,7,1,per,4.78981399536133
periodic,T1,15,CSI,6.27758478872994,0,6.29038451294589,7,1,per,2.61743092536926
periodic,T1,15,Nystrom,7.67106181874007,0,7.89708675154269,7,1,per,3.35064196586609
periodic,T1,15,Mklaren,5.50147044818295,0,5.51608666227664,7,1,per,8.53655290603638
periodic,T1,15,ICD,7.33218133556187,0,7.34376431091001,7,1,per,4.73785901069641
periodic,T1,16,CSI,21.4310916334815,0,21.4245840110895,7,1,per,2.34522414207458
periodic,T1,16,Nystrom,24.9658825463667,0,26.0129985937522,7,1,per,3.47756099700928
periodic,T1,16,Mklaren,19.9488770330558,0,19.9091027737145,7,1,per,8.60531902313232
periodic,T1,16,ICD,24.8748646762361,0,24.8573178791072,7,1,per,4.8467481136322
periodic,T1,17,CSI,12.7323966163577,0,12.7328123771924,7,1,per,2.43343806266785
periodic,T1,17,Nystrom,17.6890214215152,0,17.2118185799983,7,1,per,3.36932897567749
periodic,T1,17,Mklaren,8.82610077661927,0,8.82427676425488,7,1,per,8.73512411117554
