n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,1,Nystrom,0.01,3,0.2981763191815292,3.3254577924612744e-103,0.096393698675794184,0.10078100574658298,0.094550680489762798,0.84369143867686036
10500,30,1,Nystrom,0.10000000000000001,3,0.3168937787285554,4.9460597916472147e-117,0.11797845957493469,0.10843757441907367,0.10884407957954738,0.83037294786594917
10500,30,1,Nystrom,1.0,3,0.29131671769099726,2.1784218032879289e-98,0.11226830152791577,0.10862442234170568,0.091411229794566631,0.84661675720834684
10500,30,1,Nystrom,10.0,3,0.18627097756540451,2.8484298846128898e-40,0.032913007448327994,0.020669654531687842,0.040588327146314843,0.89397318779932788
10500,30,1,ICD,0,3,0.28704004932305838,1.8790939396636246e-95,0.089262991623004967,0.07923561161596511,0.090927990951529133,0.84706703583346898
10500,30,1,ICD,1.0000000000000001e-05,3,0.28704004932305838,1.8790939396636246e-95,0.08926299162300512,0.079235612916884829,0.090927991549969028,0.84706703527584681
10500,30,1,ICD,0.0001,3,0.28704004932305838,1.8790939396636246e-95,0.08926299162300079,0.079235624625152837,0.090927996935921282,0.84706703025725361
10500,30,1,ICD,0.001,3,0.28703992332208372,1.879464969418103e-95,0.089262991622563057,0.079235741706940532,0.090928050794778947,0.84706698007194103
10500,30,1,ICD,0.01,3,0.28703907481952029,1.8819654226302032e-95,0.089262991578801604,0.079236912435566992,0.090928589317069736,0.84706647828058013
10500,30,1,ICD,0.10000000000000001,3,0.28703332672705711,1.8989920782235243e-95,0.089262987204622155,0.079248610800590938,0.090933967914184399,0.84706146654083947
10500,30,1,ICD,1.0,3,0.28703873454488821,1.8829691101950778e-95,0.089262551729694065,0.079364706002838875,0.09098709423767791,0.84701196379857213
10500,30,1,ICD,10.0,3,0.28697484033864773,2.0812165005936376e-95,0.089220878373971121,0.080440366003959221,0.091455223078737061,0.84657576456920725
10500,30,2,Mklaren,0,3,0.45064444463207903,1.07939691186883e-248,0.23658712170277146,0.20331322950454153,0.20823069772809369,0.38609914346278895
10500,30,2,Mklaren,1.0000000000000001e-05,3,0.45064444463207903,1.07939691186883e-248,0.23658712163821963,0.20331396715380903,0.20823213185989242,0.38609844412138039
10500,30,2,Mklaren,0.0001,3,0.45065511452025425,1.0473070639036119e-248,0.23658711525248691,0.20332059700506011,0.20824502624495106,0.3860921562910587
10500,30,2,Mklaren,0.001,3,0.41965210519232965,1.546021389242181e-212,0.20676879557867087,0.17745493395524217,0.18095983678499283,0.3993975323008146
10500,30,2,Mklaren,0.01,3,0.42336880307706337,1.122363149127751e-216,0.20677607800691045,0.19457793941270085,0.18673024187342796,0.39658364641803884
10500,30,2,Mklaren,0.10000000000000001,3,0.46912281365003,4.1618631879893305e-272,0.26442833518586295,0.19289977331402575,0.22739696493873376,0.37675288650110422
10500,30,2,Mklaren,1.0,3,0.46609979176262001,3.5412864772135482e-268,0.20433570060238213,0.21883643153596974,0.21446599884537168,0.38305855523373578
10500,30,2,Mklaren,10.0,3,0.38203605075823122,1.7567346452285075e-173,0.051032610918691483,0.052635967336368487,0.053251134933006053,0.46167352640201498
10500,30,2,CSI,0,3,0.31069545704638157,2.4310870025488793e-112,0.12417072662619029,0.090429862034997227,0.10789184377111867,0.43502847863360583
10500,30,2,CSI,1.0000000000000001e-05,3,0.31069545704638157,2.4310870025488793e-112,0.12417072662619029,0.090429862431342461,0.10789184361236978,0.4350284787110183
10500,30,2,CSI,0.0001,3,0.31069545704638157,2.4310870025488793e-112,0.12417072662617563,0.090429865998437248,0.10789184218361955,0.43502847940773542
10500,30,2,CSI,0.001,3,0.31069545704638157,2.4310870025488793e-112,0.12417072662468524,0.090429901668098903,0.10789182789499804,0.43502848637545255
10500,30,2,CSI,0.01,3,0.31069587949881455,2.4293191415723956e-112,0.12417072647567917,0.090430258236245967,0.10789168489715535,0.43502855610705798
10500,30,2,CSI,0.10000000000000001,3,0.31069187731281717,2.4461189341391669e-112,0.12417071158753837,0.09043381108207367,0.10789024376645197,0.43502925886141913
10500,30,2,CSI,1.0,3,0.31062893722834817,2.7260924866848879e-112,0.12416923514599873,0.090468067065618524,0.10787472783446046,0.43503682506540653
10500,30,2,CSI,10.0,3,0.31024229038702528,5.3015168129026979e-112,0.12403310959401205,0.090693714308280424,0.10761895929457177,0.43516154828199549
