kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,1000,56,align,0.1,30,3600,30.06202507019043
exponential_kernel,100,1000,56,l2krr,0.1,30,3600,10.605573177337646
exponential_kernel,100,1000,56,alignf,0.1,30,3600,1194.6770899295807
exponential_kernel,100,1000,56,uniform,0.1,30,3600,7.3573899269104
exponential_kernel,100,1000,56,RFF,0.1,30,3600,0.34879302978515625
exponential_kernel,100,1000,100,Mklaren,0.1,30,3600,14.267658948898315
exponential_kernel,100,1000,100,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,100,align,0.1,30,3600,46.66219997406006
exponential_kernel,100,1000,100,l2krr,0.1,30,3600,13.684607028961182
exponential_kernel,100,1000,100,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,100,uniform,0.1,30,3600,10.535835981369019
exponential_kernel,100,1000,100,RFF,0.1,30,3600,0.8515269756317139
exponential_kernel,100,1000,177,Mklaren,0.1,30,3600,23.98248600959778
exponential_kernel,100,1000,177,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,177,align,0.1,30,3600,79.90238499641418
exponential_kernel,100,1000,177,l2krr,0.1,30,3600,19.75000786781311
exponential_kernel,100,1000,177,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,177,uniform,0.1,30,3600,16.33765697479248
exponential_kernel,100,1000,177,RFF,0.1,30,3600,1.2886550426483154
exponential_kernel,100,1000,316,Mklaren,0.1,30,3600,41.400726079940796
exponential_kernel,100,1000,316,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,316,align,0.1,30,3600,142.58911204338074
exponential_kernel,100,1000,316,l2krr,0.1,30,3600,32.84295392036438
exponential_kernel,100,1000,316,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,316,uniform,0.1,30,3600,27.073205947875977
exponential_kernel,100,1000,316,RFF,0.1,30,3600,2.2684412002563477
exponential_kernel,100,1000,562,Mklaren,0.1,30,3600,74.23561692237854
exponential_kernel,100,1000,562,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,562,align,0.1,30,3600,247.35516595840454
exponential_kernel,100,1000,562,l2krr,0.1,30,3600,52.92188787460327
exponential_kernel,100,1000,562,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,562,uniform,0.1,30,3600,44.077147006988525
exponential_kernel,100,1000,562,RFF,0.1,30,3600,4.006494045257568
exponential_kernel,100,1000,1000,Mklaren,0.1,30,3600,129.9201991558075
exponential_kernel,100,1000,1000,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,1000,align,0.1,30,3600,439.4899139404297
exponential_kernel,100,1000,1000,l2krr,0.1,30,3600,93.62071180343628
exponential_kernel,100,1000,1000,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,1000,uniform,0.1,30,3600,77.0625228881836
exponential_kernel,100,1000,1000,RFF,0.1,30,3600,7.20695686340332
exponential_kernel,100,1000,1778,Mklaren,0.1,30,3600,231.7868950366974
exponential_kernel,100,1000,1778,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,1778,align,0.1,30,3600,780.361899137497
exponential_kernel,100,1000,1778,l2krr,0.1,30,3600,161.78833103179932
exponential_kernel,100,1000,1778,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,1778,uniform,0.1,30,3600,130.61662101745605
exponential_kernel,100,1000,1778,RFF,0.1,30,3600,12.50594687461853
exponential_kernel,100,1000,3162,Mklaren,0.1,30,3600,425.01303791999817
exponential_kernel,100,1000,3162,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,3162,align,0.1,30,3600,1394.1204981803894
exponential_kernel,100,1000,3162,l2krr,0.1,30,3600,283.3007290363312
exponential_kernel,100,1000,3162,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,3162,uniform,0.1,30,3600,221.73778891563416
exponential_kernel,100,1000,3162,RFF,0.1,30,3600,22.012492179870605
exponential_kernel,100,1000,5623,Mklaren,0.1,30,3600,728.1999797821045
exponential_kernel,100,1000,5623,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,5623,align,0.1,30,3600,2488.404042005539
exponential_kernel,100,1000,5623,l2krr,0.1,30,3600,483.54448103904724
exponential_kernel,100,1000,5623,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,5623,uniform,0.1,30,3600,398.72767519950867
exponential_kernel,100,1000,5623,RFF,0.1,30,3600,39.79493713378906
exponential_kernel,100,1000,10000,Mklaren,0.1,30,3600,1286.5963978767395
exponential_kernel,100,1000,10000,alignfc,0.1,30,3600,inf
exponential_kernel,100,1000,10000,align,0.1,30,3600,inf
exponential_kernel,100,1000,10000,l2krr,0.1,30,3600,899.0167741775513
exponential_kernel,100,1000,10000,alignf,0.1,30,3600,inf
exponential_kernel,100,1000,10000,uniform,0.1,30,3600,732.0628108978271
exponential_kernel,100,1000,10000,RFF,0.1,30,3600,67.69550395011902
