kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,10000,1,Mklaren,0.1,10,3600,2.123279094696045
exponential_kernel,100,10000,1,CSI,0.1,10,3600,58.07157802581787
exponential_kernel,100,10000,1,alignfc,0.1,10,3600,993.192892074585
exponential_kernel,100,10000,1,FITC,0.1,10,3600,2.168333053588867
exponential_kernel,100,10000,1,align,0.1,10,3600,953.0590171813965
exponential_kernel,100,10000,1,Nystrom,0.1,10,3600,0.526623010635376
exponential_kernel,100,10000,1,l2krr,0.1,10,3600,inf
exponential_kernel,100,10000,1,alignf,0.1,10,3600,1161.5689799785614
exponential_kernel,100,10000,1,ICD,0.1,10,3600,0.5400669574737549
exponential_kernel,100,10000,1,RFF,0.1,10,3600,0.06703305244445801
exponential_kernel,100,10000,1,uniform,0.1,10,3600,697.4251720905304
exponential_kernel,100,31622,1,Mklaren,0.1,10,3600,5.137985944747925
exponential_kernel,100,31622,1,alignfc,0.1,10,3600,inf
exponential_kernel,100,31622,1,FITC,0.1,10,3600,6.568608999252319
exponential_kernel,100,31622,1,align,0.1,10,3600,inf
exponential_kernel,100,31622,1,Nystrom,0.1,10,3600,1.547379970550537
exponential_kernel,100,31622,1,l2krr,0.1,10,3600,inf
exponential_kernel,100,31622,1,alignf,0.1,10,3600,inf
exponential_kernel,100,31622,1,uniform,0.1,10,3600,inf
exponential_kernel,100,31622,1,RFF,0.1,10,3600,0.1528470516204834
exponential_kernel,100,31622,1,ICD,0.1,10,3600,1.419205904006958
exponential_kernel,100,100000,1,Mklaren,0.1,10,3600,18.92176580429077
exponential_kernel,100,100000,1,alignfc,0.1,10,3600,inf
exponential_kernel,100,100000,1,FITC,0.1,10,3600,16.301663875579834
exponential_kernel,100,100000,1,align,0.1,10,3600,inf
exponential_kernel,100,100000,1,Nystrom,0.1,10,3600,4.771605014801025
exponential_kernel,100,100000,1,l2krr,0.1,10,3600,inf
exponential_kernel,100,100000,1,alignf,0.1,10,3600,inf
exponential_kernel,100,100000,1,uniform,0.1,10,3600,inf
exponential_kernel,100,100000,1,RFF,0.1,10,3600,0.37715601921081543
exponential_kernel,100,100000,1,ICD,0.1,10,3600,4.9860498905181885
exponential_kernel,100,316227,1,Mklaren,0.1,10,3600,69.99138808250427
exponential_kernel,100,316227,1,CSI,0.1,10,3600,inf
exponential_kernel,100,316227,1,alignfc,0.1,10,3600,inf
exponential_kernel,100,316227,1,FITC,0.1,10,3600,93.00038814544678
exponential_kernel,100,316227,1,align,0.1,10,3600,inf
exponential_kernel,100,316227,1,Nystrom,0.1,10,3600,17.5015070438385
exponential_kernel,100,316227,1,l2krr,0.1,10,3600,inf
exponential_kernel,100,316227,1,alignf,0.1,10,3600,inf
exponential_kernel,100,316227,1,uniform,0.1,10,3600,inf
exponential_kernel,100,316227,1,RFF,0.1,10,3600,12.10660195350647
exponential_kernel,100,316227,1,ICD,0.1,10,3600,17.530057907104492
exponential_kernel,100,1000000,1,Mklaren,0.1,10,3600,211.13980889320374
exponential_kernel,100,1000000,1,CSI,0.1,10,3600,inf
exponential_kernel,100,1000000,1,alignfc,0.1,10,3600,inf
exponential_kernel,100,1000000,1,FITC,0.1,10,3600,295.31355905532837
exponential_kernel,100,1000000,1,align,0.1,10,3600,inf
exponential_kernel,100,1000000,1,Nystrom,0.1,10,3600,46.42905616760254
exponential_kernel,100,1000000,1,l2krr,0.1,10,3600,inf
exponential_kernel,100,1000000,1,alignf,0.1,10,3600,inf
exponential_kernel,100,1000000,1,uniform,0.1,10,3600,inf
exponential_kernel,100,1000000,1,RFF,0.1,10,3600,3.664674997329712
exponential_kernel,100,1000000,1,ICD,0.1,10,3600,48.638671875
exponential_kernel,100,100,1,Mklaren,0.1,30,3600,0.19431018829345703
exponential_kernel,100,100,1,CSI,0.1,30,3600,0.6718008518218994
exponential_kernel,100,100,1,alignfc,0.1,30,3600,1.3887460231781006
exponential_kernel,100,100,1,FITC,0.1,30,3600,1.3650248050689697
exponential_kernel,100,100,1,align,0.1,30,3600,0.14426684379577637
exponential_kernel,100,100,1,l2krr,0.1,30,3600,0.14115500450134277
exponential_kernel,100,100,1,alignf,0.1,30,3600,0.13494181632995605
exponential_kernel,100,100,1,uniform,0.1,30,3600,0.14553403854370117
